monthyear,actiongeo_long,actiongeo_lat,actiongeo_fullname
200304,-116.313,34.1347,Joshua Tree, California, United States
200304,-116.313,34.1347,Joshua Tree, California, United States
200304,-116.313,34.1347,Joshua Tree, California, United States
200304,-116.313,34.1347,Joshua Tree, California, United States
201204,65,33.0,Afghanistan
201204,-97,38.0,United States
201204,65,33.0,Afghanistan
201204,27.2359,-28.317,Du Plooy, Free State, South Africa
201204,149.217,-35.2833,Canberra, Australian Capital Territory, Australia
201204,115.833,-31.9333,Perth, Western Australia, Australia
201204,-105.365,24.8881,Bolsa, Durango, Mexico
201204,118.55,31.2726,Jiayuan, Anhui, China
201204,-95,60.0,Canada
201204,-72,47.5,Quebec, Quebec, Canada
201204,115.59,31.6081,Tang Hui, Anhui, China
201204,115.59,31.6081,Tang Hui, Anhui, China
201204,111.613,26.4239,Yongzhou, Hunan, China
201204,115.59,31.6081,Tang Hui, Anhui, China
201204,115.59,31.6081,Tang Hui, Anhui, China
201204,-93.9196,45.7326,Minnesota, United States
201204,32.1657,31.2526,Assir, Bur Said, Egypt
201204,151.217,-33.8833,Sydney, New South Wales, Australia
201204,-0.116667,51.5,London, London, City of, United Kingdom
201204,-0.75,51.75,Buckinghamshire, Buckinghamshire, United Kingdom
201204,125,-21.0,Canning Basin, Western Australia, Australia
201204,-2,54.0,United Kingdom
201204,105.85,21.0333,Hanoi, Ha N?i, Vietnam, Republic Of
201204,33,35.0,Cyprus
201204,-2,54.0,United Kingdom
201204,28.0833,-26.2,Johannesburg, Gauteng, South Africa
201204,,NULL,
201204,28.0833,-26.2,Johannesburg, Gauteng, South Africa
201204,-73.9065,44.5828,Riverview, New York, United States
201204,127,37.5664,Seoul, Soul-t'ukpyolsi, South Korea
201204,-77.0364,38.8951,The White House, District of Columbia, United States
201204,9,51.0,Germany
201204,-5,32.0,Morocco
201204,95.85,21.7333,Meiktila, Sagain, Myanmar
201204,,NULL,
201204,35.5403,33.8344,Serail, Mont-Liban, Lebanon
201204,35.5403,33.8344,Serail, Mont-Liban, Lebanon
201204,30,27.0,Egypt
201204,37.6156,55.7522,Moscow, Moskva, Russia
201204,30,-2.0,Rwanda
201204,74.8656,31.6331,Amritsar, Punjab, India
201204,74.6169,31.3947,Khalra, Punjab, India
201204,100.579,13.7768,Huai Khwang, Krung Thep Mahanakhon, Thailand
201204,-73.9065,44.5828,Riverview, New York, United States
201204,-74.0282,40.6968,Hudson River, New York, United States
201204,-119.746,36.17,California, United States
201204,88.5333,27.75,Hema, India (general), India
201204,-81.717,27.8333,Florida, United States
201204,-119.746,36.17,California, United States
201204,-112.501,33.5,Maricopa County, Arizona, United States
201204,9.2,45.4667,Milan, Lombardia, Italy
201204,27.2359,-28.317,Du Plooy, Free State, South Africa
201204,28.0833,-26.2,Johannesburg, Gauteng, South Africa
201204,27.5667,-25.5833,Marikana, North-West, South Africa
201204,28.2294,-25.7069,Pretoria, Gauteng, South Africa
201204,28.2294,-25.7069,Pretoria, Gauteng, South Africa
201204,-2,54.0,United Kingdom
201204,-61.8,17.05,Antigua And Barbuda
201204,-61.8,17.05,Antigua And Barbuda
201204,115.833,-31.9333,Perth, Western Australia, Australia
201204,133,-27.0,Australia
201204,153.017,-27.5,Brisbane, Queensland, Australia
201204,152.959,-26.6261,Nambour, Queensland, Australia
201204,153,-26.5,Sunshine Coast, Queensland, Australia
201204,118.611,-20.3121,Port Hedland, Western Australia, Australia
201204,149.217,-35.2833,Canberra, Australian Capital Territory, Australia
201204,90.4086,23.7231,Dhaka, Dhaka, Bangladesh
201204,133,-27.0,Australia
201204,133,-27.0,Australia
201204,90.4086,23.7231,Dhaka, Dhaka, Bangladesh
201204,90.4086,23.7231,Dhaka, Dhaka, Bangladesh
201204,-74.9384,42.1497,New York, United States
201204,116.388,39.9289,Beijing, Beijing, China
201204,114.615,-28.779,Geraldton, Western Australia, Australia
201204,81.85,25.45,Allahabad, Uttar Pradesh, India
201204,-112.022,43.408,Indian, Idaho, United States
201204,144.967,-37.8167,Melbourne, Victoria, Australia
201204,153.017,-27.5,Brisbane, Queensland, Australia
201204,105.77,-5.97021,Sunda Strait, Indonesia (general), Indonesia
201204,133,-27.0,Australia
201204,105.77,-5.97021,Sunda Strait, Indonesia (general), Indonesia
201204,105.77,-5.97021,Sunda Strait, Indonesia (general), Indonesia
201204,127.666,-18.2248,Halls Creek, Western Australia, Australia
201204,133,-27.0,Australia
201204,105.77,-5.97021,Sunda Strait, Indonesia (general), Indonesia
201204,105.77,-5.97021,Sunda Strait, Indonesia (general), Indonesia
201204,116.388,39.9289,Beijing, Beijing, China
201204,116.388,39.9289,Beijing, Beijing, China
201204,12.7,47.1,Pasterze, Käten, Austria
201204,12.7,47.1,Pasterze, Käten, Austria
201204,49.8822,40.3953,Baku, Baki*, Azerbaijan
201204,90.4086,23.7231,Dhaka, Dhaka, Bangladesh
201204,90.4086,23.7231,Dhaka, Dhaka, Bangladesh
201204,99,2.0,North Sumatra, Sumatera Utara, Indonesia
201204,96.0833,22.0,Mandalay, Mandalay, Myanmar
201204,95.85,21.7333,Meiktila, Sagain, Myanmar
201204,-74.9384,42.1497,New York, United States
201204,-73.5833,45.5,Montreal, Quebec, Canada
201204,-79.4167,43.6667,Toronto, Ontario, Canada
201204,,NULL,
201204,-122.419,37.7749,San Francisco, California, United States
201204,118.55,31.2726,Jiayuan, Anhui, China
201204,-0.116667,51.5,London, London, City of, United Kingdom
201204,-95,60.0,Canada
201204,-95,60.0,Canada
201204,127.666,-18.2248,Halls Creek, Western Australia, Australia
201204,120,-5.0,Indonesia
201204,-105.365,24.8881,Bolsa, Durango, Mexico
201204,100.517,13.75,Bangkok, Krung Thep Mahanakhon, Thailand
201204,100.517,13.75,Bangkok, Krung Thep Mahanakhon, Thailand
201204,100.517,13.75,Bangkok, Krung Thep Mahanakhon, Thailand
201204,20,52.0,Poland
201204,100.517,13.75,Bangkok, Krung Thep Mahanakhon, Thailand
201204,100.517,13.75,Bangkok, Krung Thep Mahanakhon, Thailand
201204,133,-27.0,Australia
201204,-76.0013,37.2265,Arlington, Virginia, United States
201204,-78.2057,37.768,Virginia, United States
201204,-79.4167,43.6667,Toronto, Ontario, Canada
201204,13.4,52.5167,Berlin, Berlin, Germany
201204,-73.5833,45.5,Montreal, Quebec, Canada
201204,-73.5833,45.5,Montreal, Quebec, Canada
201204,13.4,52.5167,Berlin, Berlin, Germany
201204,-72,47.5,Quebec, Quebec, Canada
201204,144.888,19.4355,Northern Mariana Islands
201204,-75.7,45.4167,Ottawa, Ontario, Canada
201204,-95,60.0,Canada
201204,105,35.0,China
201204,13.4,52.5167,Berlin, Berlin, Germany
201204,-127.083,65.2333,Canol, Northwest Territories, Canada
201204,13.4,52.5167,Berlin, Berlin, Germany
201204,-72,47.5,Quebec, Quebec, Canada
201204,105,35.0,China
201204,78.1333,8.78333,Tuticorin, Tamil Nadu, India
201204,78,11.0,Tamil Nadu, Tamil Nadu, India
201204,114.615,-28.779,Geraldton, Western Australia, Australia
201204,116.388,39.9289,Beijing, Beijing, China
201204,116.388,39.9289,Beijing, Beijing, China
201204,31.25,30.05,Cairo, Al Qahirah, Egypt
201204,31.25,30.05,Cairo, Al Qahirah, Egypt
201204,12.3961,-3.42722,Goma, Niari, Congo
201204,-0.116667,51.5,London, London, City of, United Kingdom
201204,-2,54.0,United Kingdom
201204,35,-18.25,Mozambique
201204,65,33.0,Afghanistan
201204,65,33.0,Afghanistan
201204,65,33.0,Afghanistan
201204,65,33.0,Afghanistan
201204,-79.8431,35.6411,North Carolina, United States
201204,,NULL,
201204,-92.1424,45.3944,Turtle Lake, Wisconsin, United States
201204,-77.0364,38.8951,Washington, District of Columbia, United States
201204,-96.9247,35.5376,Oklahoma, United States
201204,-89.6385,44.2563,Wisconsin, United States
201204,-122.676,45.5235,Portland, Oregon, United States
201204,-77.0364,38.8951,Washington, District of Columbia, United States
201204,35.2974,-14.3736,Malemia, Malawi (general), Malawi
201204,-0.116667,51.5,London, London, City of, United Kingdom
201204,-0.116667,51.5,London, London, City of, United Kingdom
201204,-3.28333,57.7,Lossiemouth, Moray, United Kingdom
201204,11.5833,48.15,Munich, Bayern, Germany
201204,9.71667,52.3667,Hanover, Niedersachsen, Germany
201204,-0.116667,51.5,London, London, City of, United Kingdom
201204,-0.116667,51.5,London, London, City of, United Kingdom
201204,83.9877,28.2185,Pokhara, Nepal (general), Nepal
201204,133,-27.0,Australia
201204,144.967,-37.8167,Melbourne, Victoria, Australia
201204,67.05,24.8667,Karachi, Sindh, Pakistan
201204,134,-20.0,Northern Territory, Northern Territory, Australia
201204,134,-20.0,Northern Territory, Northern Territory, Australia
201204,-74.6,45.6167,Hawkesbury, Ontario, Canada
201204,-74.1333,45.25,Salaberry-De-Valleyfield, Quebec, Canada
201204,31.25,30.05,Cairo, Al Qahirah, Egypt
201204,33,35.0,Cyprus
201204,30,27.0,Egypt
201204,30,27.0,Egypt
201204,31.25,30.05,Cairo, Al Qahirah, Egypt
201204,30,27.0,Egypt
201204,-119.746,36.17,California, United States
201204,-77.5,-2.0,Ecuador
201204,28.0833,-26.2,Johannesburg, Gauteng, South Africa
201204,8,10.0,Nigeria
201204,-2,54.0,United Kingdom
201204,-0.116667,51.5,London, London, City of, United Kingdom
201204,-2,54.0,United Kingdom
201204,-2,54.0,United Kingdom
201204,-0.116667,51.5,London, London, City of, United Kingdom
201204,-2.35,53.3833,Altrincham, Trafford, United Kingdom
201204,-2.35,53.3833,Altrincham, Trafford, United Kingdom
201204,-2.35,53.3833,Altrincham, Trafford, United Kingdom
201204,-2.23333,53.45,Greater Manchester, United Kingdom (general), United Kingdom
201204,-2,54.0,United Kingdom
201204,-2,54.0,United Kingdom
201204,-72,47.5,Quebec, Quebec, Canada
201204,-2,54.0,United Kingdom
201204,-2,54.0,United Kingdom
201204,-2.98333,53.8333,Poulton Le Fylde, Lancashire, United Kingdom
201204,-2,54.0,United Kingdom
201204,-2.98333,53.8333,Poulton Le Fylde, Lancashire, United Kingdom
201204,-2.98333,53.8333,Poulton Le Fylde, Lancashire, United Kingdom
201204,-2,54.0,United Kingdom
201204,-2,54.0,United Kingdom
201204,-0.116667,51.5,London, London, City of, United Kingdom
201204,-15.5833,11.85,Bissau, Bissau, Guinea-Bissau
201204,,NULL,
201204,-127.083,65.2333,Canol, Northwest Territories, Canada
201204,-77.0364,38.8951,Washington, District of Columbia, United States
201204,127.666,-18.2248,Halls Creek, Western Australia, Australia
201204,-77.0364,38.8951,Washington, District of Columbia, United States
201204,-2,54.0,United Kingdom
201204,105.85,21.0333,Hanoi, Ha N?i, Vietnam, Republic Of
201204,33,35.0,Cyprus
201204,-2,54.0,United Kingdom
201204,-77.0364,38.8951,Washington, District of Columbia, United States
201204,105.85,21.0333,Hanoi, Ha N?i, Vietnam, Republic Of
201204,,NULL,
201204,-78.2057,37.768,Virginia, United States
201204,28.0833,-26.2,Johannesburg, Gauteng, South Africa
201204,28.0833,-26.2,Johannesburg, Gauteng, South Africa
201204,121.458,31.2222,Shanghai, Shanghai, China
201204,31.25,30.05,Cairo, Al Qahirah, Egypt
201204,-2,54.0,United Kingdom
201204,-2,54.0,United Kingdom
201204,-78.2057,37.768,Virginia, United States
201204,111.613,26.4239,Yongzhou, Hunan, China
201204,8.55,47.3667,Zurich, ZüSZ, Switzerland
201204,-84.3113,39.7973,Trotwood, Ohio, United States
201204,5.73333,45.6333,Paris, RhôAlpes, France
201204,120,-5.0,Indonesia
201204,-6.24889,53.3331,Dublin, Dublin, Ireland
201204,-6.24889,53.3331,Dublin, Dublin, Ireland
201204,-6.25,53.3333,Dublin Castle, Dublin City, Ireland
201204,-6.24889,53.3331,Dublin, Dublin, Ireland
201204,-6.24889,53.3331,Dublin, Dublin, Ireland
201204,-6.25,53.3333,Dublin Castle, Dublin City, Ireland
201204,-6.24889,53.3331,Dublin, Dublin, Ireland
201204,-6.25,53.3333,Dublin Castle, Dublin City, Ireland
201204,20.75,43.75,Serbia
201204,31.2332,30.0445,Arab League, Al Qahirah, Egypt
201204,31.2332,30.0445,Arab League, Al Qahirah, Egypt
201204,12.3961,-3.42722,Goma, Niari, Congo
201204,72.8258,18.975,Mumbai, Maharashtra, India
201204,-15.5833,11.85,Bissau, Bissau, Guinea-Bissau
201204,-6.24889,53.3331,Dublin, Dublin, Ireland
201204,-74.9384,42.1497,New York, United States
201204,9.2,45.4667,Milan, Lombardia, Italy
201204,9.2,45.4667,Milan, Lombardia, Italy
201204,9.2,45.4667,Milan, Lombardia, Italy
201204,9.2,45.4667,Milan, Lombardia, Italy
201204,9.2,45.4667,Milan, Lombardia, Italy
201204,138,36.0,Japan
201204,-73.9065,44.5828,Riverview, New York, United States
201204,-122.03,37.2659,Saratoga High School, California, United States
201204,-73.9065,44.5828,Riverview, New York, United States
201204,127,37.5664,Seoul, Soul-t'ukpyolsi, South Korea
201204,127,37.5664,Seoul, Soul-t'ukpyolsi, South Korea
201204,127,37.5664,Seoul, Soul-t'ukpyolsi, South Korea
201204,-85.7594,38.2542,Louisville, Kentucky, United States
201204,-84.6514,37.669,Kentucky, United States
201204,-85.7594,38.2542,Louisville, Kentucky, United States
201204,-84.6514,37.669,Kentucky, United States
201204,-77.0364,38.8951,The White House, District of Columbia, United States
201204,-91.8749,31.1801,Louisiana, United States
201204,-110.326,46.9048,Montana, United States
201204,-110.326,46.9048,Montana, United States
201204,103.758,1.4655,Johor, Johor, Malaysia
201204,-87.6501,41.85,Chicago, Illinois, United States
201204,-75.1638,39.9523,Philadelphia, Pennsylvania, United States
201204,31.2337,30.0477,Egyptian Museum, Al Qahirah, Egypt
201204,73.5403,30.9889,Hazara, Punjab, Pakistan
201204,73.5403,30.9889,Hazara, Punjab, Pakistan
201204,-105.365,24.8881,Bolsa, Durango, Mexico
201204,65,33.0,Afghanistan
201204,-79.8431,35.6411,North Carolina, United States
201204,65,33.0,Afghanistan
201204,-79.8431,35.6411,North Carolina, United States
201204,2,46.0,France
201204,2,46.0,France
201204,-74.9384,42.1497,New York, United States
201204,-74.9384,42.1497,New York, United States
201204,1.40778,18.4411,Kidal, Kidal, Mali
201204,-12,20.0,Mauritania
201204,-4,17.0,Mali
201204,-12,20.0,Mauritania
201204,1.40778,18.4411,Kidal, Kidal, Mali
201204,-4,17.0,Mali
201204,-74.9384,42.1497,New York, United States
201204,-119.746,36.17,California, United States
201204,-119.746,36.17,California, United States
201204,99,2.0,North Sumatra, Sumatera Utara, Indonesia
201204,96.0833,22.0,Mandalay, Mandalay, Myanmar
201204,101.7,3.16667,Kuala Lumpur, Kuala Lumpur, Malaysia
201204,103.758,1.4655,Johor, Johor, Malaysia
201204,8,10.0,Nigeria
201204,0.116667,52.2,Cambridge, Cambridgeshire, United Kingdom
201204,-119.746,36.17,California, United States
201204,4.91667,52.35,Amsterdam, Noord-Holland, Netherlands
201204,4.91667,52.35,Amsterdam, Noord-Holland, Netherlands
201204,-75.5148,39.3498,Delaware, United States
201204,-75.5148,39.3498,Delaware, United States
201204,10,62.0,Norway
201204,49,10.0,Somalia
201204,10,62.0,Norway
201204,10,62.0,Norway
201204,10,62.0,Norway
201204,77.2167,28.6667,Delhi, Delhi, India
201204,77.2167,28.6667,Delhi, Delhi, India
201204,77.2167,28.6667,Delhi, Delhi, India
201204,77.2167,28.6667,Delhi, Delhi, India
201204,67.05,24.8667,Karachi, Sindh, Pakistan
201204,67.05,24.8667,Karachi, Sindh, Pakistan
201204,90.4086,23.7231,Dhaka, Dhaka, Bangladesh
201204,70,30.0,Pakistan
201204,71.5733,34.0078,Peshawar, North-West Frontier, Pakistan
201204,-76,-10.0,Peru
201204,119.933,15.5833,Pulangi, Pangasinan, Philippines
201204,20,52.0,Poland
201204,37.6156,55.7522,Moscow, Moskva, Russia
201204,37.6156,55.7522,Moscow, Moskva, Russia
201204,,NULL,
201204,-8,39.5,Portugal
201204,88.3697,22.5697,Kolkata, West Bengal, India
201204,77.2167,28.6667,Delhi, Delhi, India
201204,51.25,25.5,Qatar
201204,116.388,39.9289,Beijing, Beijing, China
201204,116.388,39.9289,Beijing, Beijing, China
201204,47,43.0,Dagestan, Dagestan, Russia
201204,47,43.0,Dagestan, Dagestan, Russia
201204,-77.0364,38.8951,Washington, District of Columbia, United States
201204,33,35.0,Cyprus
201204,31.25,30.05,Cairo, Al Qahirah, Egypt
201204,30,27.0,Egypt
201204,30,27.0,Egypt
201204,31.25,30.05,Cairo, Al Qahirah, Egypt
201204,30,27.0,Egypt
201204,37.6156,55.7522,Moscow, Moskva, Russia
201204,37.6156,55.7522,Moscow, Moskva, Russia
201204,37.6156,55.7522,Moscow, Moskva, Russia
201204,37.6156,55.7522,Moscow, Moskva, Russia
201204,-77.0364,38.8951,White House, District of Columbia, United States
201204,37.6156,55.7522,Moscow, Moskva, Russia
201204,37.6156,55.7522,Moscow, Moskva, Russia
201204,47,43.0,Dagestan, Dagestan, Russia
201204,-77.0364,38.8951,Washington, District of Columbia, United States
201204,37.6156,55.7522,Moscow, Moskva, Russia
201204,30,-2.0,Rwanda
201204,,NULL,
201204,,NULL,
201204,20.75,43.75,Serbia
201204,32.5342,15.5881,Khartoum, Al Khartum, Sudan
201204,32.5342,15.5881,Khartoum, Al Khartum, Sudan
201204,32.5342,15.5881,Khartoum, Al Khartum, Sudan
201204,32.5342,15.5881,Khartoum, Al Khartum, Sudan
201204,32.5342,15.5881,Khartoum, Al Khartum, Sudan
201204,32.5342,15.5881,Khartoum, Al Khartum, Sudan
201204,32.5342,15.5881,Khartoum, Al Khartum, Sudan
201204,36.3,33.5,Damascus, Dimashq, Syria
201204,36.3,33.5,Damascus, Dimashq, Syria
201204,10.1797,36.8028,Tunis, (TS26), Tunisia
201204,51.25,25.5,Qatar
201204,47,43.0,Dagestan, Dagestan, Russia
201204,9,51.0,Germany
201204,9,51.0,Germany
201204,-87.6501,41.85,Chicago, Illinois, United States
201204,-84.2696,36.0104,Oak Ridge, Tennessee, United States
201204,-74.9384,42.1497,New York, United States
201204,-119.746,36.17,California, United States
201204,-71.0598,42.3584,Boston, Massachusetts, United States
201204,-122.127,44.5672,Oregon, United States
201204,-97,38.0,United States
201204,-80.4498,26.6503,Palm Beach County, Florida, United States
201204,-74.9384,42.1497,New York, United States
201204,-73.9065,44.5828,Riverview, New York, United States
201204,-74.9384,42.1497,New York, United States
201204,-2,54.0,United Kingdom
201204,-121.494,38.5816,Sacramento, California, United States
201204,-119.746,36.17,California, United States
201204,-97,38.0,United States
201204,-112.082,33.4486,Phoenix Police Department, Arizona, United States
201204,-74.9384,42.1497,New York, United States
201204,-105.327,39.0646,Colorado, United States
201204,-81.717,27.8333,Florida, United States
201204,-81.1767,24.6982,Seven Mile Bridge, Florida, United States
201204,-81.717,27.8333,Florida, United States
201204,-74.9384,42.1497,New York, United States
201204,-97,38.0,United States
201204,-119.746,36.17,California, United States
201204,-74.9384,42.1497,New York, United States
201204,-74.9384,42.1497,New York, United States
201204,-73.9065,44.5828,Riverview, New York, United States
201204,-119.746,36.17,California, United States
201204,-74.9384,42.1497,New York, United States
201204,-74.9384,42.1497,New York, United States
201204,-74.9384,42.1497,New York, United States
201204,-77.0364,38.8951,Washington, District of Columbia, United States
201204,-119.746,36.17,California, United States
201204,-157.531,21.1098,Hawaii, United States
201204,-78.2057,37.768,Virginia, United States
201204,-77.0364,38.8951,Washington, District of Columbia, United States
201204,-119.746,36.17,California, United States
201204,53,32.0,Iran
201204,-74.9384,42.1497,New York, United States
201204,-77.0364,38.8951,White House, District of Columbia, United States
201204,-74.9384,42.1497,New York, United States
201204,-2,54.0,United Kingdom
201204,-74.9384,42.1497,New York, United States
201204,-74.9384,42.1497,New York, United States
201204,-78.2057,37.768,Virginia, United States
201204,-112.501,33.5,Maricopa County, Arizona, United States
201204,-111.388,33.7712,Arizona, United States
201204,-78.2057,37.768,Virginia, United States
201204,37.6156,55.7522,Moscow, Moskva, Russia
201204,-87.6501,41.85,Chicago, Illinois, United States
201204,72.8258,18.975,Mumbai, Maharashtra, India
201204,-87.6501,41.85,Chicago, Illinois, United States
201204,9.2,45.4667,Milan, Lombardia, Italy
201204,9.2,45.4667,Milan, Lombardia, Italy
201204,9.2,45.4667,Milan, Lombardia, Italy
201204,9.2,45.4667,Milan, Lombardia, Italy
201204,9.2,45.4667,Milan, Lombardia, Italy
201204,9.2,45.4667,Milan, Lombardia, Italy
201204,9.2,45.4667,Milan, Lombardia, Italy
201204,9.2,45.4667,Milan, Lombardia, Italy
201204,-66.8766,10.434,Baruta, Miranda, Venezuela
201204,-66.9167,10.5,Caracas, Distrito Federal, Venezuela
201204,48,15.0,Yemen
201204,28.2294,-25.7069,Pretoria, Gauteng, South Africa
201204,28.2294,-25.7069,Pretoria, Gauteng, South Africa
201204,28.0833,-26.2,Johannesburg, Gauteng, South Africa
201204,28.0833,-26.2,Johannesburg, Gauteng, South Africa
201204,8,10.0,Nigeria
201204,28.2294,-25.7069,Pretoria, Gauteng, South Africa
201204,-2,54.0,United Kingdom
201204,95.85,21.7333,Meiktila, Sagain, Myanmar
201303,127,40.0,North Korea
201303,-119.746,36.17,California, United States
201303,-0.433333,51.3833,Shepperton, Surrey, United Kingdom
201303,-0.433333,51.3833,Shepperton, Surrey, United Kingdom
201303,-77.0364,38.8951,White House, District of Columbia, United States
201303,-73.9057,40.7001,Ridgewood, New York, United States
201303,-98.1245,29.703,New Braunfels, Texas, United States
201303,101.7,3.16667,Kuala Lumpur, Kuala Lumpur, Malaysia
201303,77.2167,28.6667,Delhi, Delhi, India
201303,69.0595,30.08,Nek Muhammad, Balochistan, Pakistan
201303,-3.2,55.95,Edinburgh, Edinburgh, City of, United Kingdom
201303,-77.0364,38.8951,White House, District of Columbia, United States
201303,-0.116667,51.5,London, London, City of, United Kingdom
201303,-118.244,34.0522,Los Angeles, California, United States
201303,-96.3003,32.6001,Kaufman County, Texas, United States
201303,-111.388,33.7712,Arizona, United States
201303,-105.327,39.0646,Colorado, United States
201303,72,36.75,Badakhshan, Badakhshan, Afghanistan
201303,65.8733,32.6268,Tarin Kowt, Oruzgan, Afghanistan
201303,73.25,31.2833,Bannu, Punjab, Pakistan
201303,73.25,31.2833,Bannu, Punjab, Pakistan
201303,78.4744,17.3753,Hyderabad, Andhra Pradesh, India
201303,8,10.0,Nigeria
201303,76.5,10.0,Kerala, Kerala, India
201303,31.0167,-29.85,Durban, KwaZulu-Natal, South Africa
201303,76.5,10.0,Kerala, Kerala, India
201303,152.348,-24.8662,Bundaberg, Queensland, Australia
201303,-121.218,37.9766,Islamic Center, California, United States
201303,-43.2333,-22.9,Rio De Janeiro, Estado do Rio, Brazil
201303,14.55,52.35,Frankfurt, Brandenburg, Germany
201303,4.91667,52.35,Amsterdam, Noord-Holland, Netherlands
201303,4.91667,52.35,Amsterdam, Noord-Holland, Netherlands
201303,-119.746,36.17,California, United States
201303,-110.326,46.9048,Montana, United States
201303,-73.5833,45.5,Montreal, Quebec, Canada
201303,-0.116667,51.5,London, London, City of, United Kingdom
201303,-73.5833,45.5,Montreal, Quebec, Canada
201303,-122.85,49.2833,Port Moody, British Columbia, Canada
201303,-73.5833,45.5,Montreal, Quebec, Canada
201303,-79.4167,43.6667,Toronto, Ontario, Canada
201303,-95,60.0,Canada
201303,-70.6667,-33.45,Santiago, Regióetropolitana, Chile
201303,-74.9384,42.1497,New York, United States
201303,133,-27.0,Australia
201303,83.9877,28.2185,Pokhara, Nepal (general), Nepal
201303,133,-27.0,Australia
201303,15,-1.0,Congo
201303,15.315,-4.32972,Kinshasa, Kinshasa, Zaire
201303,15.315,-4.32972,Kinshasa, Kinshasa, Zaire
201303,5.73333,45.6333,Paris, RhôAlpes, France
201303,5.73333,45.6333,Paris, RhôAlpes, France
201303,18.4167,-33.9167,Cape Town, Western Cape, South Africa
201303,31.0167,-29.85,Durban, KwaZulu-Natal, South Africa
201303,33,35.0,Cyprus
201303,33,35.0,Cyprus
201303,33,35.0,Cyprus
201303,33,35.0,Cyprus
201303,33,35.0,Cyprus
201303,49,10.0,Somalia
201303,-74.1724,40.7357,Newark, New Jersey, United States
201303,31.25,30.05,Cairo, Al Qahirah, Egypt
201303,-119.746,36.17,California, United States
201303,31.25,30.05,Cairo, Al Qahirah, Egypt
201303,31.25,30.05,Cairo, Al Qahirah, Egypt
201303,31.25,30.05,Cairo, Al Qahirah, Egypt
201303,28,53.0,Belarus
201303,47,43.0,Dagestan, Dagestan, Russia
201303,47,43.0,Dagestan, Dagestan, Russia
201303,-0.116667,51.5,London, London, City of, United Kingdom
